stop_id,station_name,latitude,longitude,nearest_bus_stop_m,bus_stops_within_500m,nearest_bus_stop,nearest_bus_stop_id,metro_route_count,metro_trip_count,line,interchange_flag,network_role,route_coverage_score,first_mile_proximity_score,bus_stop_density_score,network_first_mile_screening_index,first_mile_band
CMRL_G06,Shenoy Nagar,13.066519,80.229087,119.0,7,Choolaimedu,5683,0,0,Not scheduled in sampled trips,0,Operational,0.0,0.8163655316191799,0.4375,41.8,Strong (<250m)
CMRL_G07,Anna Nagar East,13.057808,80.220368,566.1,0,Trustpuram,137,0,0,Not scheduled in sampled trips,0,Operational,0.0,0.03961084086170944,0.0,1.3,Long (>500m)
CMRL_G08,Anna Nagar Tower,13.051308,80.211329,179.8,9,Vadapalani Kovil,9432,0,0,Not scheduled in sampled trips,0,Operational,0.0,0.7107366226546212,0.5625,42.4,Strong (<250m)
CMRL_G09,Thirumangalam,13.044983,80.202075,487.9,1,Double Tank,5562,0,0,Not scheduled in sampled trips,0,Operational,0.0,0.17546907574704657,0.0625,7.9,Moderate (250–500m)
CMRL_G10,Koyambedu,13.035483,80.197363,187.2,11,Data Udupi Hotel,40,0,0,Not scheduled in sampled trips,0,Operational,0.0,0.6978804725503822,0.6875,46.2,Strong (<250m)
CMRL_G11,Koyambedu Depot,13.028636,80.195242,275.3,6,Anbu Wine Shop,10208,0,0,Not scheduled in sampled trips,0,Operational,0.0,0.5448227936066712,0.375,30.7,Moderate (250–500m)
CMRL_G12,Puratchi Thalaivi Dr. J. Jayalalithaa CMBT,13.0685,80.2041,123.7,10,M.G.R.Koyambedu Bus Terminus,5822,0,0,Not scheduled in sampled trips,0,Operational,0.0,0.8082001389854064,0.625,47.8,Strong (<250m)
CMRL_G13,Arumbakkam,13.0616,80.212,241.0,7,M.M.D.A.Colony,10272,0,0,Not scheduled in sampled trips,0,Operational,0.0,0.604412786657401,0.4375,34.7,Strong (<250m)
CMRL_G14,Vadapalani,13.0539,80.2153,329.9,4,Ram Theatre,115,0,0,Not scheduled in sampled trips,0,Operational,0.0,0.4499652536483669,0.25,23.3,Moderate (250–500m)
CMRL_G15,Ashok Nagar,13.037265,80.209551,188.9,14,Velankanni Matric Higher Secondary School,143,0,0,Not scheduled in sampled trips,0,Operational,0.0,0.6949270326615705,0.875,52.3,Strong (<250m)
CMRL_G16,Ekkattuthangal,13.017128,80.205302,25.8,7,Ekkattuthangal Or Ambal Nagar,10185,0,0,Not scheduled in sampled trips,0,Operational,0.0,0.9782835302293259,0.4375,47.2,Strong (<250m)
CMRL_G17,Arignar Anna Alandur,13.004256,80.206136,399.2,2,Kathipara Urban Square,8991,0,0,Not scheduled in sampled trips,0,Operational,0.0,0.3295691452397498,0.125,15.2,Moderate (250–500m)
CMRL_G18,St. Thomas Mount,13.000739,80.197151,124.8,6,St Thomas Mount Head Post Office,8966,1,32,Green Line,0,Operational,0.5,0.8062890896455871,0.375,56.0,Strong (<250m)
